high,low,volume,close,open,time
412.59,404.0,133990924.0,405.41,411.23,1620792000
412.35,407.02,102575542.0,410.28,407.02,1620878400
417.49,413.18,81940366.0,416.58,413.23,1620964800
416.39,413.36,65202192.0,415.52,415.39,1621224000
416.06,411.77,59810263.0,411.94,415.79,1621310400
411.05,405.33,106512663.0,410.86,406.93,1621396800
416.625,411.67,78034807.0,415.28,411.77,1621483200
418.2,414.45,76587685.0,414.94,416.83,1621569600
420.32,417.08,51455404.0,419.17,417.39,1621828800
420.71,417.62,57680647.0,418.24,420.33,1621915200
419.61,417.76,43088518.0,419.07,418.89,1622001600
420.72,418.9851,56709015.0,419.29,420.16,1622088000
421.25,419.79,58529164.0,420.04,421.03,1622174400
422.72,419.2,54216625.0,419.67,422.6,1622520000
421.23,419.29,49595061.0,420.33,420.35,1622606400
419.99,416.28,58145663.0,418.77,417.82,1622692800
422.92,418.8422,55938807.0,422.6,420.73,1622779200
422.78,421.19,51557581.0,422.19,422.55,1623038400
423.21,420.32,47135978.0,422.28,423.16,1623124800
423.26,421.41,48436158.0,421.65,423.15,1623211200
424.63,421.55,51043502.0,423.61,422.96,1623297600
424.43,422.82,45188069.0,424.31,424.12,1623384000
425.37,423.1,42263981.0,425.26,424.43,1623643200
425.46,423.54,51451270.0,424.48,425.46,1623729600
424.87,419.92,79926976.0,422.11,424.61,1623816000
423.02,419.32,90040891.0,421.97,421.62,1623902400
417.8281,414.7,117958616.0,414.92,417.16,1623988800
421.06,415.93,72385960.0,420.86,416.85,1624248000
424.0,420.08,57214823.0,423.11,420.86,1624334400
424.05,422.51,49245049.0,422.6,423.2,1624420800
425.55,424.62,44763976.0,425.1,424.93,1624507200
427.0943,425.55,57862307.0,426.61,425.96,1624593600
427.65,425.89,53591977.0,427.47,427.13,1624852800
428.56,427.13,35910742.0,427.7,427.87,1624939200
428.78,427.18,66122931.0,428.06,427.18,1625025600
430.6,428.8,53214992.0,430.43,428.88,1625112000
434.1,430.5218,57504095.0,433.72,431.67,1625198400
434.01,430.01,68584517.0,432.93,433.75,1625544000
434.76,431.51,63291736.0,434.46,433.72,1625630400
431.73,427.52,97206464.0,430.92,428.74,1625716800
435.84,430.714,75668488.0,435.52,432.56,1625803200
437.35,434.97,52859887.0,437.08,435.48,1626062400
437.84,435.31,52381629.0,435.59,436.21,1626148800
437.92,434.91,63733398.0,436.24,437.38,1626235200
435.53,432.72,54796972.0,434.75,434.79,1626321600
436.06,430.92,79436975.0,431.34,436.04,1626408000
431.4089,421.97,146479969.0,424.97,426.2,1626667200
432.42,424.83,99175950.0,431.06,425.73,1626753600
434.7,431.0111,64359552.0,434.55,432.39,1626840000
435.72,433.69,47698960.0,435.46,434.81,1626926400
440.3,436.79,63662960.0,439.94,437.57,1627012800
441.03,439.26,44173646.0,441.02,439.36,1627272000
439.94,435.99,67308448.0,439.01,439.94,1627358400
440.3,437.31,52159512.0,438.83,439.72,1627444800
441.8,439.81,47064623.0,440.65,439.84,1627531200
440.06,437.77,68625674.0,438.51,437.98,1627617600
440.93,437.21,58330752.0,437.59,440.38,1627876800
441.28,436.1,57534714.0,441.15,438.45,1627963200
441.1243,438.73,46554753.0,438.98,439.82,1628049600
441.85,439.88,38840310.0,441.76,440.22,1628136000
442.94,441.8,47224281.0,442.49,442.15,1628222400
442.795,441.31,40999040.0,442.13,442.47,1628481600
443.44,441.88,43176053.0,442.68,442.62,1628568000
443.882,442.62,44278658.0,443.78,443.77,1628654400
445.2572,442.66,38915418.0,445.11,443.59,1628740800
445.94,445.07,40132779.0,445.92,445.55,1628827200
447.11,442.87,73814275.0,446.97,444.6,1629086400
444.96,440.85,92452576.0,444.04,444.28,1629172800
444.625,438.92,90016677.0,439.18,442.93,1629259200
441.14,436.12,92545091.0,439.86,436.3,1629345600
443.71,439.71,71758311.0,443.36,440.14,1629432000
448.23,443.4355,54669953.0,447.26,445.28,1629691200
448.54,447.42,38729614.0,447.97,447.91,1629777600
449.457,447.77,40466079.0,448.91,448.22,1629864000
448.86,446.16,57535773.0,446.26,448.6,1629950400
450.65,447.06,76844646.0,450.25,447.1,1630036800
453.07,450.71,48272641.0,452.23,450.98,1630296000
452.49,450.92,59060172.0,451.56,452.16,1630382400
453.11,451.545,48662856.0,451.8,452.6,1630468800
454.05,451.91,42911061.0,453.19,453.33,1630555200
453.63,451.55,47355713.0,453.08,452.02,1630641600
452.81,450.7423,51610686.0,451.46,452.76,1630987200
451.67,448.86,56762741.0,450.91,450.91,1631073600
452.57,448.72,57872933.0,448.98,450.72,1631160000
451.49,445.31,89700702.0,445.44,451.07,1631246400
448.92,444.11,83569406.0,446.58,448.64,1631505600
448.34,443.22,78873315.0,444.17,448.12,1631592000
448.41,443.44,78589104.0,447.88,444.64,1631678400
448.36,444.02,78038650.0,447.17,447.32,1631764800
445.37,441.02,119016585.0,441.4,444.95,1631851200
436.56,428.86,166427168.0,434.04,434.91,1632110400
437.91,433.07,92733633.0,433.63,436.63,1632196800
440.03,433.747,101725345.0,437.86,436.06,1632283200
444.89,439.6,75697354.0,443.18,439.82,1632369600
444.67,441.21,61976903.0,443.91,441.49,1632456000
444.05,441.9,61112465.0,442.64,442.78,1632715200
440.04,432.94,129823976.0,433.72,439.73,1632801600
437.04,433.85,81463971.0,434.45,435.17,1632888000
436.77,428.78,138608544.0,429.14,435.98,1632974400
436.0329,427.24,129231427.0,434.24,430.97,1633060800
433.96,426.36,127736365.0,428.64,433.0,1633320000
435.49,429.39,90354462.0,433.1,430.33,1633406400
435.1199,427.54,111719705.0,434.9,429.29,1633492800
441.68,438.2,72162554.0,438.66,438.51,1633579200
439.89,437.19,74045709.0,437.86,439.57,1633665600
440.26,434.62,65291511.0,434.69,437.1,1633924800
436.1,432.78,70528119.0,433.62,435.67,1634011200
436.05,431.54,72065732.0,435.18,434.69,1634097600
442.66,438.58,69797513.0,442.5,439.06,1634184000
446.26,444.09,65589704.0,445.87,444.8,1634270400
447.55,443.27,60887761.0,447.19,444.0,1634529600
450.7,448.27,46158554.0,450.64,448.92,1634616000
452.732,451.01,48861693.0,452.41,451.16,1634702400
453.829,451.31,40711506.0,453.59,451.79,1634788800
454.67,451.05,57592867.0,453.12,453.15,1634875200
455.9,452.39,44453103.0,455.55,454.24,1635134400
458.49,455.56,55116672.0,455.96,457.25,1635220800
457.16,453.86,71366704.0,453.94,456.49,1635307200
458.4,455.45,50717415.0,458.32,455.5,1635393600
459.56,455.56,69342858.0,459.25,455.9,1635480000
460.7021,458.2,47641577.0,460.04,460.34,1635739200
462.23,460.08,49009307.0,461.9,460.25,1635825600
465.15,460.83,52413852.0,464.72,461.31,1635912000
467.0,464.99,53054747.0,466.91,465.38,1635998400
470.65,466.92,66553269.0,468.53,469.35,1636084800
470.23,468.2031,50441861.0,468.93,469.65,1636347600
469.57,465.88,50888355.0,467.38,469.35,1636434000
467.38,462.04,69289092.0,463.62,465.61,1636520400
465.29,463.75,34866992.0,463.77,465.15,1636606800
467.86,464.11,53435539.0,467.27,465.15,1636693200
468.81,466.23,46854294.0,467.43,468.66,1636952400
470.485,467.07,48788875.0,469.28,467.16,1637038800
469.19,467.48,47810731.0,468.14,468.97,1637125200
470.01,466.34,50492933.0,469.73,469.23,1637211600
470.94,468.5,57143496.0,468.89,469.61,1637298000
473.54,467.35,72730067.0,467.57,470.85,1637557200
469.095,464.45,73014398.0,468.19,467.17,1637643600
469.57,465.19,61566083.0,469.44,466.14,1637730000
463.9,457.77,112449331.0,458.97,462.44,1637902800
466.56,461.73,87229061.0,464.6,464.11,1638162000
464.03,455.3,148658258.0,455.56,462.0,1638248400
464.67,450.29,132019277.0,450.5,461.68,1638334800
459.07,450.31,127500039.0,457.4,450.8,1638421200
460.3,448.92,137007110.0,453.42,459.19,1638507600
460.79,453.56,98582726.0,458.79,456.08,1638766800
468.88,458.6546,95228002.0,468.28,464.42,1638853200
470.0,466.83,72303862.0,469.52,468.69,1638939600
469.6291,466.14,61878294.0,466.35,468.12,1639026000
470.9,466.51,76959728.0,470.74,469.28,1639112400
470.56,466.27,87589290.0,466.57,470.24,1639371600
465.74,460.25,97038794.0,463.36,463.03,1639458000
470.86,460.74,116797436.0,470.6,463.47,1639544400
472.87,464.8,116271684.0,466.45,472.6,1639630800
464.74,458.06,141421372.0,459.87,461.47,1639717200
455.4,451.14,104252782.0,454.98,454.41,1639976400
463.21,456.31,69622282.0,463.06,458.72,1640062800
467.81,462.58,58871066.0,467.69,462.81,1640149200
472.19,468.64,56225631.0,470.6,468.77,1640235600
477.31,472.01,56689965.0,477.26,472.09,1640581200
478.81,476.06,47190504.0,476.87,477.8,1640667600
478.56,475.92,57439126.0,477.48,477.04,1640754000
479.0,475.67,55321941.0,476.16,477.98,1640840400
476.86,474.67,67846292.0,474.96,475.62,1640926800
477.85,473.85,72859933.0,477.71,476.45,1641186000
479.98,475.58,72130318.0,477.55,479.26,1641272400
477.98,468.29,102090390.0,468.38,477.25,1641358800
470.82,465.43,86899217.0,467.94,468.0,1641445200
469.2,464.65,84914433.0,466.09,468.0,1641531600
465.74,456.5973,118730388.0,465.51,462.74,1641790800
469.85,462.05,74853263.0,469.75,465.24,1641877200
473.2,468.94,67759128.0,471.02,471.65,1641963600
472.88,463.44,90971413.0,464.53,472.2,1642050000
465.09,459.9,95697900.0,464.72,461.1,1642136400
459.96,455.31,109728067.0,456.49,459.84,1642482000
459.6124,451.46,108201413.0,451.75,458.19,1642568400
458.74,444.5,121688459.0,446.75,453.75,1642654800
448.06,437.95,202610317.0,437.98,445.45,1642741200
440.38,420.76,246897306.0,439.84,432.0,1643000400
439.72,364.68,167908407.0,434.47,433.19,1643086800
444.04,428.86,182054779.0,433.38,441.62,1643173200
441.58,429.45,149657212.0,431.24,438.13,1643259600
442.0,427.82,164045862.0,441.95,432.7,1643346000
450.28,439.81,151973284.0,449.91,441.44,1643605200
453.63,446.9384,122606348.0,452.95,450.64,1643691600
458.12,453.05,117353542.0,457.35,455.5,1643778000
452.97,445.71,117670723.0,446.6,450.93,1643864400
452.78,443.83,119546087.0,448.7,446.24,1643950800
450.99,445.85,84271700.0,447.26,449.5,1644210000
451.92,445.22,80723600.0,450.94,446.66,1644296400
457.88,455.005,90105650.0,457.54,455.29,1644382800
457.71,447.2,136707627.0,449.32,451.4,1644469200
451.605,438.94,147819260.0,440.46,449.3,1644555600
441.6,435.34,116797833.0,439.02,439.88,1644814800
446.28,443.18,86214317.0,446.1,443.86,1644901200
448.055,441.94,80837488.0,446.6,443.94,1644987600
446.5652,436.42,96702624.0,437.08,443.18,1645074000
438.66,431.82,127857744.0,434.31,437.51,1645160400
435.5,425.86,120256973.0,429.57,431.95,1645506000
433.26,421.35,126065955.0,422.07,432.65,1645592400
428.76,410.64,213249029.0,428.3,411.0,1645678800
437.84,427.86,116947965.0,437.75,429.55,1645765200
438.2,430.7,139634305.0,436.63,432.23,1646024400
437.17,427.21,132857631.0,429.98,435.12,1646110800
439.72,431.57,113504091.0,437.89,432.3,1646197200
441.11,433.8,99686399.0,435.77,440.59,1646283600
433.37,427.88,108964209.0,432.1,431.69,1646370000
432.3018,419.36,131262026.0,419.43,431.58,1646629200
427.21,415.12,158890009.0,416.25,419.87,1646715600
429.51,422.83,110176608.0,427.33,425.16,1646802000
426.43,420.44,91933914.0,425.48,422.42,1646888400
428.77,419.53,90803923.0,420.07,428.2,1646974800
424.55,415.79,91251505.0,417.0,420.98,1647230400
426.84,418.42,104219651.0,426.17,419.66,1647316800
435.68,424.8,138130298.0,435.55,429.94,1647403200
441.07,433.19,100157174.0,441.07,433.7,1647489600
444.86,437.22,102327793.0,444.31,437.81,1647576000
446.46,440.68,85377983.0,444.3,444.45,1647835200
450.58,445.86,73674202.0,449.59,445.99,1647921600
448.49,443.71,77982935.0,443.8,446.9,1648008000
450.5,444.76,61411569.0,450.48,445.82,1648094400
452.98,448.43,77199328.0,452.69,451.09,1648180800
455.91,450.06,68744767.0,455.84,452.05,1648440000
462.07,457.18,86682895.0,461.53,460.07,1648526400
461.195,456.465,79668682.0,458.79,460.29,1648612800
458.76,451.16,118607132.0,452.11,457.92,1648699200
453.46,449.14,88676014.0,452.92,453.3,1648785600
456.91,452.26,59663209.0,456.8,453.2,1649044800
457.83,449.82,74022189.0,451.03,455.23,1649131200
448.93,443.47,105592595.0,446.52,446.87,1649217600
450.69,443.53,77538519.0,448.77,445.67,1649304000
450.63,445.94,79148376.0,447.57,448.04,1649390400
445.0,439.39,89825549.0,439.92,444.11,1649649600
445.75,436.6501,84020734.0,438.29,443.02,1649736000
444.11,437.84,73734315.0,443.31,437.96,1649822400
444.7301,437.68,98667135.0,437.79,443.44,1649908800
439.75,435.61,65814949.0,437.97,436.73,1650254400
445.8,437.68,77678099.0,445.04,437.87,1650340800
447.57,443.48,64737457.0,444.71,446.95,1650427200
450.01,437.1,85097110.0,438.06,448.58,1650513600
438.0825,425.44,132156403.0,426.04,436.94,1650600000
428.69,418.84,119103454.0,428.51,423.7,1650859200
426.04,416.07,101074178.0,416.1,425.92,1650945600
422.92,415.01,120771109.0,417.2,417.38,1651032000
429.64,417.6,104665724.0,427.81,422.17,1651118400
425.87,411.21,145242451.0,412.0,423.56,1651204800
415.92,405.02,157684938.0,414.48,412.01,1651464000
418.93,413.36,99739343.0,416.38,414.91,1651550400
429.66,413.7099,143203740.0,429.06,417.13,1651636800
425.0,409.44,172192959.0,413.81,424.58,1651723200
414.8,405.73,150936483.0,411.34,411.16,1651809600
406.41,396.5,156333670.0,398.17,405.2,1652068800
406.08,394.82,132731278.0,399.09,404.5,1652155200
