high,low,volume,close,open,time
570.41,548.37,6999557.0,550.56,560.42,1620792000
563.23,538.36,6678707.0,546.3,561.35,1620878400
573.1242,549.94,6431462.0,569.72,555.6,1620964800
566.77,554.14,5423830.0,566.62,566.41,1621224000
576.17,560.16,4656996.0,560.63,570.68,1621310400
563.18,541.73,8600235.0,562.63,542.99,1621396800
587.3514,570.82,8039599.0,584.5,572.1,1621483200
608.88,594.7756,16824810.0,599.67,605.78,1621569600
629.8,607.04,13870535.0,624.48,608.1,1621828800
632.7399,619.3,10885983.0,625.91,630.26,1621915200
631.75,623.45,9260776.0,628.0,629.37,1622001600
630.0,618.4,14536784.0,619.52,628.0,1622088000
651.099,620.04,16163432.0,649.78,620.54,1622174400
655.525,636.13,11820075.0,650.58,651.0,1622520000
676.7547,649.42,14854342.0,671.13,650.42,1622606400
690.36,663.32,14500070.0,678.79,668.03,1622692800
706.44,683.82,15427907.0,703.13,684.98,1622779200
712.5,687.71,14417541.0,704.76,702.4,1623038400
704.8635,690.04,8096180.0,698.28,701.0,1623124800
703.0,690.23,9541438.0,694.33,701.13,1623211200
699.68,687.0401,7178961.0,697.0,694.01,1623297600
717.569,697.75,10394747.0,713.01,699.18,1623384000
721.58,706.5101,8024164.0,720.75,716.24,1623643200
720.65,709.118,6071008.0,711.54,716.97,1623729600
718.1871,703.377,7655365.0,712.41,711.75,1623816000
753.4,710.2501,20205197.0,746.29,711.0,1623902400
775.0,743.36,24153331.0,745.55,752.23,1623988800
741.46,712.906,16790322.0,737.09,737.65,1624248000
758.55,735.435,14486729.0,755.47,739.03,1624334400
766.11,756.31,8294305.0,762.29,760.05,1624420800
776.8,763.53,8016097.0,768.22,769.69,1624507200
773.82,755.775,6946315.0,761.24,771.4,1624593600
803.15,772.76,12378911.0,799.4,774.24,1624852800
803.95,786.275,9186705.0,801.07,795.85,1624939200
806.5,794.55,8159026.0,800.1,799.965,1625025600
818.24,800.76,11970619.0,808.48,805.0,1625112000
820.21,811.51,8580080.0,819.48,817.33,1625198400
833.68,814.01,11164170.0,827.94,829.86,1625544000
835.0,813.282,10450443.0,814.87,834.0,1625630400
805.32,788.03,12572966.0,796.11,793.67,1625716800
803.205,790.17,7402589.0,802.01,798.69,1625803200
821.31,807.51,8045810.0,820.5,810.0,1626062400
818.45,804.5601,7249122.0,810.0,816.02,1626148800
816.71,790.11,9484361.0,793.66,814.18,1626235200
793.88,754.3401,13737092.0,758.65,792.37,1626321600
766.2844,722.92,17186702.0,726.44,760.85,1626408000
761.68,714.62,18685120.0,751.19,715.8,1626667200
188.38,181.64,43436509.0,186.12,187.39,1626753600
195.27,187.42,37173683.0,194.1,188.83,1626840000
198.87,192.76,32369943.0,195.94,196.45,1626926400
197.0,192.5,19557575.0,195.58,196.62,1627012800
194.42,189.14,20385581.0,192.94,193.12,1627272000
196.22,187.41,24878988.0,192.08,192.65,1627358400
196.46,189.95,20193168.0,195.03,192.8,1627444800
198.53,193.2803,19063643.0,196.62,195.19,1627531200
196.3,192.63,18326489.0,194.99,194.27,1627617600
199.61,193.61,21717654.0,197.5,197.0,1627876800
202.22,192.2,30151108.0,198.15,197.4,1627963200
203.18,198.28,23117677.0,202.74,199.9,1628049600
207.33,203.42,21136782.0,206.37,205.0,1628136000
205.7,202.1,17854173.0,203.66,204.73,1628222400
205.0799,201.43,14638891.0,202.95,204.23,1628481600
204.3,198.3454,17917942.0,199.36,203.22,1628568000
200.49,194.3,18599553.0,196.99,200.48,1628654400
200.2899,196.2,15179560.0,199.05,198.64,1628740800
202.1381,198.51,18301589.0,201.88,199.05,1628827200
202.87,194.53,21103544.0,199.5,201.25,1629086400
197.7,192.67,20440884.0,194.58,196.8,1629172800
196.3365,190.0,28567239.0,190.4,195.0,1629259200
204.95,187.62,76625983.0,197.98,195.0,1629345600
208.6506,199.33,67551269.0,208.16,200.05,1629432000
219.97,209.5,57566433.0,219.58,209.73,1629691200
219.59,215.35,29728750.0,217.93,217.68,1629777600
224.7,217.22,34761019.0,222.13,217.4,1629864000
223.4,217.9,23769951.0,220.68,222.0,1629950400
227.22,221.67,30442541.0,226.36,222.0,1630036800
230.43,225.51,26326083.0,226.88,228.29,1630296000
226.95,221.2,25939485.0,223.85,226.84,1630382400
226.97,223.565,20165375.0,224.41,225.0,1630468800
225.9299,222.945,18801203.0,223.96,224.96,1630555200
229.86,222.0,28079392.0,228.43,223.29,1630641600
228.99,225.224,19805122.0,226.62,228.42,1630987200
226.1,219.77,25331292.0,223.39,225.0,1631073600
225.38,221.31,19675567.0,221.77,223.39,1631160000
226.26,222.7,24840455.0,224.78,223.35,1631246400
229.64,218.58,29735628.0,221.52,226.83,1631505600
224.1,220.86,19951018.0,222.42,222.74,1631592000
223.6699,219.66,16656641.0,223.41,223.09,1631678400
222.77,219.27,15593954.0,222.42,221.93,1631764800
223.21,218.3,29407423.0,219.0,223.0,1631851200
214.33,206.62,34898923.0,211.13,211.65,1632110400
214.25,209.5,20472054.0,212.46,214.23,1632196800
219.6,211.96,26802989.0,219.41,213.64,1632283200
225.345,218.9,24807209.0,224.82,221.1,1632369600
221.49,218.61,21747672.0,220.81,220.62,1632456000
217.99,213.25,24450815.0,216.6,217.03,1632715200
214.19,206.51,34226706.0,206.99,212.05,1632801600
210.17,204.67,21760980.0,205.17,209.33,1632888000
210.66,206.88,21924550.0,207.16,207.74,1632974400
208.59,202.03,24069299.0,207.42,207.77,1633060800
205.4179,195.55,34459515.0,197.32,204.83,1633320000
206.48,198.54,27888362.0,204.51,199.55,1633406400
207.2,200.8,29588064.0,207.0,201.04,1633492800
213.22,209.72,25659478.0,210.75,211.08,1633579200
212.06,207.75,15084013.0,208.31,211.0,1633665600
210.63,205.11,16303112.0,206.95,205.86,1633924800
210.57,205.28,16157419.0,206.71,208.42,1634011200
209.9,207.13,18068114.0,209.39,209.18,1634097600
217.55,211.2201,24325287.0,217.46,212.74,1634184000
219.31,216.62,22560000.0,218.62,218.1,1634270400
222.91,216.44,18794861.0,222.22,217.49,1634529600
223.79,220.37,16035107.0,222.9,222.9,1634616000
224.33,219.82,14522228.0,221.03,222.89,1634702400
227.11,220.83,18664796.0,226.92,221.0,1634788800
231.3,225.61,24731953.0,227.26,228.29,1634875200
233.5499,227.7,22857123.0,231.66,229.62,1635134400
252.59,239.24,48452620.0,247.17,240.0,1635220800
250.9,242.8201,24423411.0,244.51,244.76,1635307200
249.5,245.23,23336773.0,249.41,248.96,1635393600
257.09,250.0,29105335.0,255.67,250.35,1635480000
258.94,252.27,26511932.0,258.27,256.34,1635739200
266.78,258.0,29349632.0,264.01,258.17,1635825600
267.84,262.35,23988518.0,265.98,266.25,1635912000
313.65,271.18,115359948.0,298.01,272.21,1635998400
314.0,294.1,85115370.0,297.52,301.64,1636084800
311.0,299.07,50302076.0,308.04,301.5,1636347600
323.1,299.64,64652219.0,306.57,322.86,1636434000
308.5,287.78,63607663.0,294.59,292.14,1636520400
305.9,297.7701,33216032.0,303.9,304.57,1636606800
306.8,296.3,41306724.0,303.9,300.0,1636693200
306.44,292.47,38482725.0,300.25,305.5,1636952400
303.9,297.0587,26445136.0,302.03,297.57,1637038800
305.09,288.0,42839502.0,292.61,304.0,1637125200
327.6,313.21,78159805.0,316.75,323.5,1637211600
330.88,319.05,53384135.0,329.85,323.0,1637298000
346.47,319.0,75405356.0,319.56,335.1,1637557200
323.6,308.8,53187391.0,317.46,315.21,1637643600
328.55,309.28,43379357.0,326.74,314.4,1637730000
327.1,313.5,28288832.0,315.03,326.0,1637902800
334.12,320.36,45798224.0,333.76,324.0,1638162000
333.53,318.6401,62103154.0,326.76,331.67,1638248400
332.8934,313.8,48518970.0,314.35,332.0,1638334800
324.7799,310.25,47239403.0,321.26,311.51,1638421200
321.29,301.3,54387678.0,306.93,320.0,1638507600
302.41,280.38,65868992.0,300.37,298.45,1638766800
324.49,306.51,59289425.0,324.27,309.7,1638853200
322.9,314.2101,47540371.0,318.26,320.0,1638939600
322.05,304.28,48584406.0,304.9,317.06,1639026000
313.05,298.61,48847361.0,301.98,311.56,1639112400
302.94,281.16,59555705.0,281.61,302.1,1639371600
286.78,272.5,66689888.0,283.37,276.78,1639458000
305.0,278.38,69778368.0,304.59,284.14,1639544400
311.6,280.93,70700192.0,283.87,311.5,1639630800
289.22,277.6,71572703.0,278.01,280.0,1639717200
281.44,271.45,45250017.0,277.19,273.35,1639976400
291.2,274.01,52435258.0,290.75,283.72,1640062800
295.55,284.49,40298367.0,294.0,288.78,1640149200
300.59,294.3101,34292710.0,296.4,297.57,1640235600
310.865,296.4,40332506.0,309.45,296.4,1640581200
313.3,300.1181,42054355.0,303.22,313.11,1640667600
305.48,293.66,34308959.0,300.01,303.11,1640754000
304.57,295.4,30885650.0,295.86,298.24,1640840400
300.3,293.3057,26649873.0,294.11,296.52,1640926800
307.11,297.85,39234926.0,301.21,298.0,1641186000
304.68,283.49,52709575.0,292.9,302.64,1641272400
294.16,275.33,47774551.0,275.99,288.92,1641358800
284.3799,270.65,45404948.0,281.78,276.0,1641445200
284.22,270.57,40967434.0,272.47,281.58,1641531600
274.69,256.4384,59368787.0,274.0,265.5,1641790800
280.65,268.39,40409847.0,278.17,273.5,1641877200
285.95,276.08,38333111.0,279.99,280.67,1641963600
284.8,264.98,54391909.0,265.75,284.17,1642050000
271.969,262.1001,39565981.0,269.42,262.85,1642136400
266.38,257.7,42489550.0,259.03,262.64,1642482000
265.4317,250.52,48793036.0,250.67,260.5,1642568400
255.7904,240.78,43365469.0,241.5,252.82,1642654800
248.23,232.63,71688169.0,233.74,235.02,1642741200
